book,chapter,page_1920,page_1879,page_1886
1 Nephi,1,23,9,19
1 Nephi,2,25,11,21
1 Nephi,3,27,13,23
1 Nephi,4,29,16,26
1 Nephi,5,32,18,29
1 Nephi,6,34,20,30
1 Nephi,7,34,21,31
1 Nephi,8,36,23,33
1 Nephi,9,39,25,36
1 Nephi,10,40,26,36
1 Nephi,11,42,28,38
1 Nephi,12,45,31,41
1 Nephi,13,47,33,43
1 Nephi,14,51,37,48
1 Nephi,15,54,40,50
1 Nephi,16,58,44,54
1 Nephi,17,61,47,57
1 Nephi,18,66,52,63
1 Nephi,19,69,55,65
1 Nephi,20,72,58,68
1 Nephi,21,74,60,70
1 Nephi,22,76,62,72
2 Nephi,1,80,66,76
2 Nephi,2,83,69,79
2 Nephi,3,87,73,83
2 Nephi,4,89,75,86
2 Nephi,5,92,78,89
2 Nephi,6,95,81,91
2 Nephi,7,97,83,93
2 Nephi,8,98,84,94
2 Nephi,9,100,86,96
2 Nephi,10,106,91,102
2 Nephi,11,109,94,104
2 Nephi,12,110,95,105
2 Nephi,13,111,96,107
2 Nephi,14,113,98,108
2 Nephi,15,114,99,109
2 Nephi,16,116,101,111
2 Nephi,17,117,102,112
2 Nephi,18,118,103,114
2 Nephi,19,120,105,115
2 Nephi,20,121,106,117
2 Nephi,21,124,108,119
2 Nephi,22,125,110,120
2 Nephi,23,126,110,120
2 Nephi,24,127,112,122
2 Nephi,25,130,114,124
2 Nephi,26,133,118,128
2 Nephi,27,137,121,131
2 Nephi,28,140,125,135
2 Nephi,29,143,128,137
2 Nephi,30,145,129,139
2 Nephi,31,147,131,141
2 Nephi,32,149,133,143
2 Nephi,33,150,134,144
Jacob,1,152,136,146
Jacob,2,154,138,148
Jacob,3,157,141,151
Jacob,4,159,143,153
Jacob,5,162,145,155
Jacob,6,169,153,163
Jacob,7,171,155,164
Enos,1,174,158,167
Jarom,1,176,160,169
Omni,1,178,162,171
Words of Mormon,1,181,166,175
Mosiah,1,184,168,177
Mosiah,2,186,170,179
Mosiah,3,190,175,184
Mosiah,4,193,178,187
Mosiah,5,196,181,190
Mosiah,6,198,183,192
Mosiah,7,199,184,193
Mosiah,8,203,187,196
Mosiah,9,205,189,199
Mosiah,10,207,191,201
Mosiah,11,209,193,203
Mosiah,12,212,196,206
Mosiah,13,215,199,209
Mosiah,14,218,202,211
Mosiah,15,219,203,212
Mosiah,16,222,205,215
Mosiah,17,223,207,216
Mosiah,18,225,208,218
Mosiah,19,228,211,221
Mosiah,20,230,214,223
Mosiah,21,232,216,226
Mosiah,22,235,219,229
Mosiah,23,237,221,230
Mosiah,24,240,223,233
Mosiah,25,242,226,235
Mosiah,26,244,228,237
Mosiah,27,247,231,240
Mosiah,28,251,235,244
Mosiah,29,253,237,246
Alma,1,257,241,250
Alma,2,261,244,254
Alma,3,264,248,257
Alma,4,267,250,259
Alma,5,269,253,262
Alma,6,275,259,268
Alma,7,276,260,269
Alma,8,279,263,272
Alma,9,282,266,275
Alma,10,286,269,279
Alma,11,289,272,282
Alma,12,293,276,285
Alma,13,297,280,290
Alma,14,301,283,293
Alma,15,304,286,296
Alma,16,306,288,298
Alma,17,308,291,300
Alma,18,313,295,305
Alma,19,316,298,308
Alma,20,320,302,312
Alma,21,323,305,315
Alma,22,325,307,317
Alma,23,329,312,321
Alma,24,331,313,323
Alma,25,334,317,326
Alma,26,336,319,328
Alma,27,340,322,332
Alma,28,343,325,335
Alma,29,344,327,337
Alma,30,346,328,338
Alma,31,352,334,344
Alma,32,355,337,348
Alma,33,359,341,352
Alma,34,361,343,354
Alma,35,365,347,358
Alma,36,367,349,359
Alma,37,369,351,362
Alma,38,374,356,367
Alma,39,376,358,368
Alma,40,378,360,370
Alma,41,381,362,373
Alma,42,382,364,375
Alma,43,385,367,378
Alma,44,391,372,383
Alma,45,393,375,386
Alma,46,396,377,388
Alma,47,400,381,392
Alma,48,403,385,396
Alma,49,406,387,398
Alma,50,409,390,401
Alma,51,413,394,405
Alma,52,417,398,409
Alma,53,421,402,413
Alma,54,423,405,416
Alma,55,425,407,418
Alma,56,428,410,421
Alma,57,433,415,426
Alma,58,437,418,430
Alma,59,441,422,434
Alma,60,442,423,435
Alma,61,446,427,439
Alma,62,448,429,441
Alma,63,453,434,446
Helaman,1,455,436,448
Helaman,2,458,440,451
Helaman,3,460,441,453
Helaman,4,463,445,456
Helaman,5,466,447,459
Helaman,6,471,452,464
Helaman,7,475,456,468
Helaman,8,478,459,471
Helaman,9,481,461,474
Helaman,10,484,465,477
Helaman,11,486,466,479
Helaman,12,489,470,482
Helaman,13,491,472,484
Helaman,14,495,476,488
Helaman,15,498,479,491
Helaman,16,500,480,493
3 Nephi,1,503,483,496
3 Nephi,2,506,486,499
3 Nephi,3,508,488,501
3 Nephi,4,511,491,504
3 Nephi,5,514,495,507
3 Nephi,6,516,497,509
3 Nephi,7,519,500,512
3 Nephi,8,522,502,515
3 Nephi,9,524,504,517
3 Nephi,10,527,507,519
3 Nephi,11,529,509,521
3 Nephi,12,532,512,525
3 Nephi,13,535,515,528
3 Nephi,14,537,517,530
3 Nephi,15,539,519,532
3 Nephi,16,541,521,533
3 Nephi,17,543,523,535
3 Nephi,18,545,525,537
3 Nephi,19,548,528,541
3 Nephi,20,551,531,543
3 Nephi,21,554,535,547
3 Nephi,22,557,537,549
3 Nephi,23,558,539,551
3 Nephi,24,559,540,552
3 Nephi,25,561,541,553
3 Nephi,26,561,542,554
3 Nephi,27,563,544,556
3 Nephi,28,566,547,559
3 Nephi,29,570,550,562
3 Nephi,30,571,551,563
4 Nephi,1,571,551,564
Mormon,1,576,556,568
Mormon,2,578,558,570
Mormon,3,580,561,573
Mormon,4,583,563,575
Mormon,5,585,565,577
Mormon,6,587,567,580
Mormon,7,589,569,582
Mormon,8,590,571,583
Mormon,9,595,575,587
Ether,1,599,578,591
Ether,2,601,581,593
Ether,3,604,583,596
Ether,4,607,586,599
Ether,5,609,588,601
Ether,6,609,589,601
Ether,7,612,592,604
Ether,8,614,594,606
Ether,9,616,596,608
Ether,10,620,600,612
Ether,11,623,603,615
Ether,12,624,604,616
Ether,13,628,608,620
Ether,14,631,611,623
Ether,15,634,613,626
Moroni,1,637,616,629
Moroni,2,637,617,629
Moroni,3,638,617,629
Moroni,4,638,618,630
Moroni,5,639,618,630
Moroni,6,639,618,631
Moroni,7,640,619,631
Moroni,8,645,624,636
